id;ticket_code;issued_at;parking_spot_id;entry_time;exit_time;status;parking_spot_id_id
1;"5{6, 10}";2023-06-10T16:36:31;c306cda4-3bd0-4117-b6c8-0f9d1fab31da;2023-06-10T13:15:03;2023-06-10T09:20:39;EXPIRED;1
2;"4{6, 10}";2023-06-10T10:40:25;04566923-4aaf-4602-b554-5ec1e76a2090;2023-06-10T22:00:58;2023-06-10T09:33:55;ACTIVE;2
3;"D{6, 10}";2023-06-10T15:31:20;1a962515-2b0d-4216-972b-9b098aa1a15c;2023-06-10T19:25:08;2023-06-10T22:44:05;EXPIRED;3
4;"6{6, 10}";2023-06-10T15:12:51;f630a100-ee0c-4b22-b7fc-876a9b6a2449;2023-06-10T07:47:26;2023-06-10T01:21:58;ACTIVE;4
5;"0{6, 10}";2023-06-10T16:35:55;60909e96-dce8-4914-95f7-02f2141d8fcb;2023-06-11T00:22:20;2023-06-10T12:25:34;ACTIVE;5
6;"B{6, 10}";2023-06-10T21:05:01;fe3ccc41-ca1d-47fa-bd20-aee27e166fba;2023-06-10T22:52:12;2023-06-10T16:04:57;EXPIRED;6
7;"A{6, 10}";2023-06-10T23:23:20;0db115db-6e62-4c43-a270-9534775ccc97;2023-06-10T23:27:01;2023-06-10T08:56:31;ACTIVE;7
8;"7{6, 10}";2023-06-10T21:33:02;c7fc4465-befc-4d39-bfe5-592d3285a253;2023-06-10T08:33:36;2023-06-10T23:43:17;EXPIRED;8
9;"E{6, 10}";2023-06-10T15:01:00;af81deab-8c74-4290-9d68-027dda3ecb0d;2023-06-10T15:18:23;2023-06-10T16:36:43;EXPIRED;9
10;"C{6, 10}";2023-06-10T10:36:33;0dbcd755-a1ec-4682-8e89-8d9cb7b26a6c;2023-06-10T05:59:57;2023-06-10T11:46:49;EXPIRED;10
